Record Length,2500,Points,0.0,-1.1200000,,Record Length,2500,Points,0.0,-1.1200000,,Record Length,2500,Points,0.0,-1.1200000,,Record Length,2500,Points,0.0,-1.1200000,
Sample Interval,200.00000298E-3,s,200.00000298E-3,-1.1200000,,Sample Interval,200.00000298E-3,s,200.00000298E-3,-1.1200000,,Sample Interval,200.00000298E-3,s,200.00000298E-3,-1.1200000,,Sample Interval,200.00000298E-3,s,200.00000298E-3,-1.1200000,
Trigger Point,0.0,Samples,400.00000596E-3,-1.1200000,,Trigger Point,0.0,Samples,400.00000596E-3,-1.1200000,,Trigger Point,0.0,Samples,400.00000596E-3,-1.1200000,,Trigger Point,0.0,Samples,400.00000596E-3,-1.1200000,
,,,600.000023842E-3,-1.1200000,,,,,600.000023842E-3,-1.1200000,,,,,600.000023842E-3,-1.1200000,,,,,600.000023842E-3,-1.1200000,
,,,800.000011921E-3,-1.1200000,,,,,800.000011921E-3,-1.1200000,,,,,800.000011921E-3,-1.1200000,,,,,800.000011921E-3,-1.1200000,
,,,1.000000,-1.1200000,,,,,1.000000,-1.1200000,,,,,1.000000,-1.1200000,,,,,1.000000,-1.1200000,
Source,CH1,,1.2000000,-1.1200000,,Source,CH2,,1.2000000,-1.1200000,,Source,CH3,,1.2000000,-1.1200000,,Source,CH4,,1.2000000,-1.1200000,
Vertical Units,Volts,,1.4000000,-1.1200000,,Vertical Units,Volts,,1.4000000,-1.1200000,,Vertical Units,Volts,,1.4000000,-1.1200000,,Vertical Units,Volts,,1.4000000,-1.1200000,
Vertical Scale,999.999977648E-3,,1.6000000,-1.1200000,,Vertical Scale,999.999977648E-3,,1.6000000,-1.1200000,,Vertical Scale,999.999977648E-3,,1.6000000,-1.1200000,,Vertical Scale,999.999977648E-3,,1.6000000,-1.1200000,
Vertical Offset,0,,1.8000001,-1.1200000,,Vertical Offset,0,,1.8000001,-1.1200000,,Vertical Offset,0,,1.8000001,-1.1200000,,Vertical Offset,0,,1.8000001,-1.1200000,
Horizontal Units,s,,2.0000000,-1.1200000,,Horizontal Units,s,,2.0000000,-1.1200000,,Horizontal Units,s,,2.0000000,-1.1200000,,Horizontal Units,s,,2.0000000,-1.1200000,
Horizontal Scale,50.00000075,,2.2000000,-1.1200000,,Horizontal Scale,50.00000075,,2.2000000,-1.1200000,,Horizontal Scale,50.00000075,,2.2000000,-1.1200000,,Horizontal Scale,50.00000075,,2.2000000,-1.1200000,
Pt Fmt,Y,,2.4000001,-1.1200000,,Pt Fmt,Y,,2.4000001,-1.1200000,,Pt Fmt,Y,,2.4000001,-1.1200000,,Pt Fmt,Y,,2.4000001,-1.1200000,
Yzero,-4.00000000,,2.6000001,-1.1200000,,Yzero,-4.00000000,,2.6000001,-1.1200000,,Yzero,-4.00000000,,2.6000001,-1.1200000,,Yzero,-4.00000000,,2.6000001,-1.1200000,
Probe Atten,1.000000,,2.79999995,-1.1200000,,Probe Atten,1.000000,,2.79999995,-1.1200000,,Probe Atten,1.000000,,2.79999995,-1.1200000,,Probe Atten,1.000000,,2.79999995,-1.1200000,
,,,3.00000000,-1.1200000,,,,,3.00000000,-1.1200000,,,,,3.00000000,-1.1200000,,,,,3.00000000,-1.1200000,
Note,TDS 2004B - 4:29:22 PM   9/15/2026,,3.20000005,-1.1200000,,Note,TDS 2004B - 4:29:22 PM   9/15/2026,,3.20000005,-1.1200000,,Note,TDS 2004B - 4:29:22 PM   9/15/2026,,3.20000005,-1.1200000,,Note,TDS 2004B - 4:29:22 PM   9/15/2026,,3.20000005,-1.1200000,
,,,3.40000010,-1.1200000,,,,,3.40000010,-1.1200000,,,,,3.40000010,-1.1200000,,,,,3.40000010,-1.1200000,
,,,3.60000014,-1.1200000,,,,,3.60000014,-1.1200000,,,,,3.60000014,-1.1200000,,,,,3.60000014,-1.1200000,
,,,3.79999995,-1.1200000,,,,,3.79999995,-1.1200000,,,,,3.79999995,-1.1200000,,,,,3.79999995,-1.1200000,
,,,4.00000000,-1.1200000,,,,,4.00000000,-1.1200000,,,,,4.00000000,-1.1200000,,,,,4.00000000,-1.1200000,
,,,4.20000029,-1.1200000,,,,,4.20000029,-1.1200000,,,,,4.20000029,-1.1200000,,,,,4.20000029,-1.1200000,
,,,4.40000010,-1.1200000,,,,,4.40000010,-1.1200000,,,,,4.40000010,-1.1200000,,,,,4.40000010,-1.1200000,
,,,4.59999990,-1.1200000,,,,,4.59999990,-1.1200000,,,,,4.59999990,-1.1200000,,,,,4.59999990,-1.1200000,
,,,4.80000019,-1.1200000,,,,,4.80000019,-1.1200000,,,,,4.80000019,-1.1200000,,,,,4.80000019,-1.1200000,
